No,User Name,Rating,Tanggal,Ulasan,Jumlah Like,Tanggal Balasan,Balasan Developer,Versi Aplikasi
44,Abdi Nawawi,5,2026-09-10,aplikasi Bagus,0,,,4.18.0
45,Himalaya Sadewa,5,2026-09-10,mantap pelayanan,0,,,4.18.0
46,Paijo87 Jhony87,5,2026-09-10,mudah cara pegunaan ya,0,,,
47,Pincok 26,1,2026-09-10,saya berharap petugas BPJS kalo input data tu mata melek jangan merem satu angka/huruf salah anda mepotkan kami!!!,0,,,4.18.0
48,Saepul Islam,1,2026-09-10,SUMPAH INI APLIKASI JELEK BANGET. SERING KELUAR SENDIRI PADAHAL PASWORD SUDAH BENAR SAMPE GAGAL 3 KALI MASUK. PADAHAL URGENT MAU DIPAKE KECEWA,0,,,
49,Anto Boyz,5,2026-09-10,sangat luar biasa,0,,,
50,Zainal Abidin,5,2026-09-10,mantaap,0,,,
51,Pujianto Agustus,5,2026-09-10,ok bangat yang penting okey mantrap,0,,,4.18.0
52,Melani Futria,3,2026-09-10,"dulu mah gampang mau masuk tinggal klik sandi ,skrg agak ribet deh berkali2 jaringan eror gabisa masuk aplikasi mencoba uninstal trs didownload ulang malahan gbs jg",0,,,4.18.0
53,Malang Bagus,1,2026-09-10,"sekarang malah susah mau ambil no antrean biasa nya tinggal pilih peserta, apa harus bikin akun lagi untuk nik anak biar bisa ambil nomor antrean",0,,,
54,Muslikhin ali khusni,1,2026-09-10,aplikasi bodoh. tiap bulan mesti login.itu bodoh fb aja ga tiap bulan login.perpinter lagi,0,,,4.18.0
55,Nadine Nazyre,4,2026-09-10,"Setelah di update APK kenapa malah logout sendiri dan tidak bisa login lagi?,.. Padahal sinyal kuat dan semua data yang di masukkan sudah betul,.. Ini gimana ya? Apakah APKnya sudah tidak bisa di gunakan?",0,2022-01-10,"""Hai..Mohon maaf atas ketidaknyamanannya Pastikan anda telah melakukan update Aplikasi Mobile JKN pada handphone anda. Untuk kendala yang anda alami saat ini telah dilakukan perbaikan, silahkan coba kembali. Terima kasih,""",4.18.0
56,Rachmat Sudrajat,1,2026-09-10,"Gmn mau buka,kudu update wae.Klo Hp bagus dan memory cukup gak masalah,lah ini hp jadul memory kecil .... Malah jd masalah baru lg ini,gmn sy mau berobat",0,,,4.18.0
57,Budi Prayitno,1,2026-09-10,Mengapa tidak ada dukungan mobile jkn ini untuk android 8/9? apa memang pengguna jkn hanya utntuk orang mampu? rakyat kecil tidak boleh menggunakan fasilitas jkn?,0,,,
58,Oki Abdul karom,5,2026-09-10,aplikasi bermanfaat sangat membantu dan mempermudah masyarakat. petugas nya pun ramah tamah dan sangat membantu. terimakasih,0,,,4.18.0
59,Dennise Saputra,1,2026-09-10,saya daftar JKN mobile dari pagi sampe malem otp sms ga pernah masuk cuman otp Gmail aja yang masuk,0,,,
60,Edo Pandeirot,5,2026-09-10,sangat membantu,0,,,4.18.0
61,Helni Depag,5,2026-09-10,sangat membantu dalam pengecekan kesehatan,0,,,
62,muklas khan,1,2026-09-10,aplikasi tidak bisa di buka,0,,,
63,Insan Kamil Budiman,1,2026-09-10,"kurang berguna, apk jebakan",0,,,4.18.0
64,Rukwati Yahya,1,2026-09-10,sms verifikasi tidak kunjung masuk,0,,,4.18.0
65,Hadi Sancoko,5,2026-09-10,ok,0,,,4.18.0
66,Dzaki Airil,5,2026-09-10,sangat membantu kami,0,,,
67,Zikri Maulvi,5,2026-09-10,the best,0,,,4.18.0
68,legal,1,2026-09-10,"Apasih bolak balik harus login, rempong bgt",0,,,
69,Wiwit Amelia,5,2026-09-10,mudah dan gampang g pake ribet,0,,,4.18.0
70,Purwati Wati,4,2026-09-10,lumayan akurat. hanya kadang rumit bolak-balik verifikasi akun. password PIN. jatuhnya kepada org tua yg mulai renta mata krg awas. ingatan mulai lemah. jdi lupa lupa terus PIN atau password. jadi lama prosesnya utk berobat,0,,,4.18.0
71,Sondang Mayda,3,2026-09-10,srg kali mnt login & logout sesuka nya. muak awak.,0,,,4.18.0
72,Wahyu Wulan,1,2026-09-10,pas masukin nomer nggak bisa terus udah 1 bulan di coba lagi masih nggak bisa padahal nomer masih aktif ada pulsanya juga,0,,,4.18.0
73,Farhanghani,1,2026-09-10,aplikasi BUSUKKKK,0,,,
74,Imam bae,1,2026-09-10,apk sampah tiba² keluar sendri IT nya ga besus kerjanya,0,,,4.18.0
75,Ashfi Amarilis Wafda,5,2026-09-10,sangat membantu,0,,,4.18.0
76,Zein Arief,1,2026-09-10,apk gk bisa buat reset password kayak nya apk ini hny pajangan,0,,,4.18.0
77,Darto Gum,5,2026-09-10,good,0,,,4.18.0
78,Ogi Suhendar,4,2026-09-10,kenapa hp saya tidak dapat meng update jkn dan tidak bisa di buka,0,,,4.18.0
79,Dede Sopandi,5,2026-09-10,good sangat membantu,0,,,4.18.0
80,Nurul Anwar,5,2026-09-10,"sangatttt membantu, terimakasih mobile JKN",0,,,4.18.0
81,saukat ali,5,2026-09-10,excellent,0,,,4.18.0
82,Fitri YD,5,2026-09-10,pelayanan ini sangat membantu kami warga indonesia,0,,,4.12.0
83,Arie Ramadanie,1,2026-09-10,aplikasi sampah buatnya mahal tapi slalu macet dari otp hingga registrasi tidak bisa diaktifkan,0,,,4.18.0
84,kriswan setiadi,3,2026-09-10,aplikasi bagus setiap mau di pakai harus verifikasi padahal sudah di catat bagus bagus pasword tapi selalu salah beneran bikin capek,0,,,4.18.0
85,Nopa Tejo mukti,5,2026-09-10,bagus,0,,,
86,Rahmat hidayat,5,2026-09-10,membantu untuk pemeriksaan kesehatan,0,,,4.18.0
87,Muhammad Fatir,5,2026-09-10,membantu....masarajat....,0,,,4.18.0
88,Amelia Ananda,4,2026-09-10,Lola aplikasinya,0,,,
89,Roni Bekasi,5,2026-09-10,sangat bermanfaat dan membantu mempermudah dalam percobaan,0,,,4.18.0
90,Masyadi Aldo,5,2026-09-10,mantap jiwa,0,,,4.18.0
91,Mochamad Ryan Muzaki,1,2026-09-10,FC trus,0,,,4.18.0
92,Muhamad Rafi Arifin,1,2026-09-10,sediakan fitur download pdf untuk surat rujukan baru saya kasih bintang 5,0,,,
93,H yx,1,2026-09-10,apasih tiba² buat daftar online nya hilang aneh banget,0,,,
94,Agus Nur alamsyah,5,2026-09-10,mantap,0,2025-10-21,"Mohon maaf atas ketidaknyamanannya. Terkait kendala yang dialami, Anda dapat menyampaikan kendala dengan melampirkan tangkapan layar/rekam ke alamat email : carecenter@bpjs-kesehatan.go.id untuk kemudahan proses tindak lanjut. Terima kasih.",4.18.0
95,Zulfandia,5,2026-09-10,sangat membantu,0,,,4.18.0
96,Antonius Adi,4,2026-09-10,"bagus dan sangat membantu,tidak perlu harus ke kantor pusat untuk mengubah data.tetap semangat.",0,,,4.18.0
97,Mach Haris,5,2026-09-10,keren perubahan datanya cepat,0,,,4.18.0
98,Wahyudi Wahyudi,5,2026-09-10,mudah di akses,0,,,
99,candy,3,2026-09-10,"mau verifikasi wajah gagal terus, padahal udah ikutin instruksi. tempat juga udah terang. siapa si ini tim IT nya. tolong SEGERA diperbaiki. mau kontrol aja dipersulit.",0,,,4.18.0
100,Gace Imut,1,2026-09-10,Apaan ini tau tau logout... sendiri.. Percuma jg pake aplikasi bgini ga bykk pengaruh jg.. Malah Ribet. logout sendiri.,0,,,
101,Dewi,5,2026-09-10,sangat membantu,0,,,4.18.0
102,Achmad pupun istiawan,1,2026-09-10,rekam wajah terlalu lama,0,,,
103,Hamba' Allah,1,2026-09-10,"No nik sdh sesuai ktp di blng slh, apk sampah",0,,,4.18.0
104,Beni Saputra,5,2026-09-10,jos,0,,,4.16.0
105,Sis Wanto,4,2026-09-10,knp aplikasi JKN tidak bisa di download ulang setelah di paus dan hilang dr aplikasi play store,0,,,
106,Risky Aditiya,1,2026-09-10,lama bet verifikasi sms nya cok 300 detik,0,,,4.18.0
107,Muhammad Fauzan,1,2026-09-10,"kak mau nanya kan saya ingin membayar tunggakan kis/BPJS ,saya ingin bayar dengan membayar pake BCA tapi kenapa gak ada kak tolong jawab kak🙏",0,,,4.18.0
108,Aw we,5,2026-09-10,sangat baik,0,,,4.18.0
109,Santi Shyantie,5,2026-09-10,mantap,0,,,4.18.0
110,Mayana veronika Sembiring,5,2026-09-10,sangat membantu tanpa harus ke kantor nya 🥰,0,,,4.18.0
111,AbANg TamFan,1,2026-09-10,"Rata² apl buatan pemerintah terkesan asal asalan,. padahal dana pembuatannya sangat besar. sering error, logout sendiri.",1,,,4.18.0
112,fahmy saleh,5,2026-09-10,mantab deh,0,,,4.18.0
113,Hendra Rock,1,2026-09-10,"aplikasi aneh dua Minggu daftar tinggal dipermudah kirim sms aja ko repot gagal terus,. kalo. gak niat buat aplikasi mnding offline aja lah",0,,,
114,Samsu Syam,2,2026-09-10,"aplikasi ribet ,minta terus login,kadang keluar sendiri",0,,,4.18.0
115,Dedy Irawan,5,2026-09-10,sangat membatu,0,,,4.18.0
116,makunimau family,5,2026-09-10,sangat membantu untuk meningkatkan pelayanan BPJS,0,,,4.18.0
117,Aris Vauzi,5,2026-09-10,excellent,0,,,4.18.0
118,Lestari Asha,5,2026-09-10,Alhamdulillah app JKN Mobile skrg sdh semakin bagus. Membantu banget kalau mau periksa ke faskes/RS. Semoga ke depan makin bagus lagi,3,,,4.18.0
119,Lukman Hakim,5,2026-09-10,mantap,0,,,4.18.0
120,WITTIN INDRASARI,1,2026-09-10,aplikasi nya sering lemot dan keluar sendiri,0,,,
121,rani febritriani,1,2026-09-10,"bojs bobrok. udh didaftarin tindakan tgl 10 sep, de sebelum puasa krn doketer mau hj, malah eror, mundur jd tgl 15. dikira g punya kerjaan leha leha doang.",0,,,4.18.0
122,Blackdoff69 doff69,1,2026-09-10,sering error,0,,,
123,Arie Muhlapin,5,2026-09-10,Memudahkan pelayanan masyarakat,0,,,4.18.0
124,Sri Muliati,5,2026-09-10,Sangat membantu,0,,,4.18.0
125,Widya Safitri Zebua,1,2026-09-10,TOLONG YA DI PERBAIKI INI APLIKASI. BUKANNYA MEMUDAHKAN MALAH NYUSAHIN! BANYAK BUG! NGELAG PARAH! SERING TIBA-TIBA LOGOUT SENDIRI!,0,,,4.18.0
126,Bambang Wijonarko,1,2026-09-10,Perbaiki dan upgarde ai face recognition-nya,0,,,4.18.0
127,Penyejuk Hati ChanneL,5,2026-09-10,That Simple,0,,,4.18.0
128,Rahmat Fauzi,5,2026-09-10,aplikasi yg bagus dan sangat membantu sekali,0,,,4.18.0
129,Agung Hendra,5,2026-09-10,good,0,,,4.18.0
130,Ghita,5,2026-09-10,kerja bagus,0,,,4.18.0
131,Mohammad Wakid Arvian,5,2026-09-10,Sangat membantu,0,,,4.18.0
132,areska fatrisa,1,2026-09-10,mau buka aplikasi lama dan lemot membuat susah orang berobat yg lagi sakit aplikasi ga guna,0,2025-09-17,"Mohon maaf atas ketidaknyamanannya. Terkait kendala yang dialami, Anda dapat menyampaikan kendala dengan melampirkan screenshot/video ke alamat email : carecenter@bpjs-kesehatan.go.id untuk kemudahan proses tindak lanjut. Terima kasih.",4.18.0
133,Purnoto,5,2026-09-10,ini gimana ya? ketimbang mau log in aja susah banget,0,,,4.18.0
134,Asril Sitompul,5,2026-09-10,sangat baik,0,,,4.17.0
135,sri sulasmi,5,2026-09-10,baik,0,,,4.16.1
136,Toy Mahendra25,5,2026-09-10,sangat puas,0,,,4.18.0
137,rani aja,5,2026-09-10,melakukan perubahan data prosesnya hanya hitungan menit. terimakasih mobile jkn,0,,,4.18.0
138,Seni Trimuliani,3,2026-09-10,udah bagus sih cuma ini kenapa ya suka gagal terhubung ke server rs gitu buat rujukan,0,,,4.18.0
139,vellaa vellaa99,1,2026-09-10,gajelas,0,,,
140,Herry GrdTM77,1,2026-09-10,apk lawak bug truss,0,,,4.18.0
141,Fajar 22,5,2026-09-10,Sangat Mudah Jika Ingin Ganti Faskes,0,,,4.18.0
142,Rizal Fikriyan,1,2026-09-10,verifikasi wajahnya susah banget udh gitu kameranya aneh,0,,,4.18.0
143,RIAN PRANATA,1,2026-09-10,"tau"" logout sendiri, ga bisa login, katanya ada gangguan apa gitu di suruh nunggu beberapa saat, tapi sampek berhari"" sama aja",0,,,4.18.0
144,aditpriabaik,5,2026-09-10,"aplikasi kagak jelas monyet, kode Verifikasi aja lamanya kagak ngotak. pada niat bikin aplikasi gasi",0,,,4.18.0
145,Dedi Yusuf,5,2026-09-10,sangat berguna,0,,,4.18.0
146,salh jvhjk,1,2026-09-10,TOLOL MENYUSAHKAN ORANG AJA DISISI PENDAFTARAN,0,,,4.18.0
147,Jhon Smith,1,2026-09-10,"apk paling tholol yg pernah saya install, mending lu pada ga ush sama sakali install apk ini, apk haram",0,,,4.18.0
148,Shine Daniel,1,2026-09-10,"Masa sudah sampai seminggu tidak bisa login. Keterangan pemintaan belum dapat diproses. Sudah clear cache, cek update aplikasi, password benar.",0,,,4.18.0
149,orang awam,1,2026-09-10,aplikasi pemerintah wuelek Kabeh piye Iki rek dana aplikasi y seh di korupsi masak nik bener loging tidak bisa apa lah pemerintah,0,,,4.18.0
150,JEPE,1,2026-09-10,"wah sering erornya, tolong perbaiki systemnya dong, kasian yang poli pakai aplikasi, kadang tidak bisa login, kadang susah cek in, kadang mental, jadi kalau berangkat awal tetep harus antri umum. hmmm",0,,,4.18.0
